Reg,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7
snR39_YKR057W,0.0510274311968408,0.0583077081815276,0.0623213930394455,0.0672884110593373,0.0,0.0,0.0
snR39_YDL067C,0.0606729878375622,0.0,0.0,0.0341771933288497,0.0,0.0,0.0
snR39_YLR230W,0.0167103886567729,0.0214420627234106,0.0222678287449728,0.0216161398966191,0.0,0.0,0.0
snR39_snR80,0.010641930891219,0.0077428101062167,0.0083452603851453,0.0089087768665648,0.0,0.0,0.0
snR39_YJL136C,0.02632230658757,0.0239086899946925,0.0231840301067375,0.0199656462893991,0.0,0.0,0.0
snR39_YJR146W,0.0117653031983988,0.0,0.0,0.0,0.0,0.0,0.0
snR39_snR72,0.0260013455649158,0.0386812172988238,0.0398682804713792,0.0518985507113415,0.0,0.0344975832032536,0.0
snR39_snR70,0.012240323204738,0.0,0.0,0.0,0.015140303282789,0.011712338714517,0.0
snR39_YDR185C,0.0109482039817485,0.0,0.0076243933758285,0.0,0.0,0.0,0.0
snR39_YJL118W,0.0132939448741291,0.0,0.0,0.0,0.0,0.0,0.0
snR39_YNL028W,0.0185410848582138,0.0,0.0,0.0,0.0,0.0,0.0
snR39_snR55,0.0681433361841691,0.0,0.0426364044186228,0.074284340484101,0.0,0.0,0.0
snR39_snR59,-0.107466459885162,0.0,0.0,0.036131664103737,0.0,0.0659624031161528,0.0
snR39_snR36,0.013953252849755,0.0,0.0,0.0,0.0,0.0,0.0
snR39_snR39B,0.110162188339509,0.0,0.0,0.0,0.0,0.0,0.0
snR39_YPL252C,0.0167289621520304,0.0161018090319056,0.0157370138421179,0.016609073958817,0.0,0.0,0.0
snR39B_snR87,0.0643238939325378,0.0420140422705316,0.0,0.0,0.0,0.0,0.0212470304687315
